date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-08-21,Ajmer,0.0,31.4,24.6,2026-08-21T06:06,2026-08-21T19:02,06:06 AM,07:02 PM,28.0
2026-08-22,Ajmer,0.0,29.7,24.0,2026-08-22T06:06,2026-08-22T19:01,06:06 AM,07:01 PM,26.85
2026-08-21,Alwar,1.9,34.2,26.9,2026-08-21T05:57,2026-08-21T18:56,05:57 AM,06:56 PM,30.55
2026-08-22,Alwar,1.7,33.8,26.4,2026-08-22T05:57,2026-08-22T18:55,05:57 AM,06:55 PM,30.099999999999998
2026-08-21,Banswara,1.6,30.1,24.7,2026-08-21T06:10,2026-08-21T19:00,06:10 AM,07:00 PM,27.4
2026-08-22,Banswara,1.6,30.2,24.9,2026-08-22T06:10,2026-08-22T18:59,06:10 AM,06:59 PM,27.549999999999997
2026-08-21,Barmer,0.0,33.8,25.5,2026-08-21T06:20,2026-08-21T19:15,06:20 AM,07:15 PM,29.65
2026-08-22,Barmer,0.0,32.0,24.7,2026-08-22T06:20,2026-08-22T19:14,06:20 AM,07:14 PM,28.35
2026-08-21,Bhilwara,1.8,31.9,24.6,2026-08-21T06:07,2026-08-21T19:01,06:07 AM,07:01 PM,28.25
2026-08-22,Bhilwara,0.0,30.5,24.3,2026-08-22T06:08,2026-08-22T19:00,06:08 AM,07:00 PM,27.4
2026-08-21,Bikaner,0.0,37.1,27.8,2026-08-21T06:09,2026-08-21T19:09,06:09 AM,07:09 PM,32.45
2026-08-22,Bikaner,0.0,37.2,27.4,2026-08-22T06:10,2026-08-22T19:08,06:10 AM,07:08 PM,32.3
2026-08-21,Bundi,0.3,31.9,26.2,2026-08-21T06:03,2026-08-21T18:57,06:03 AM,06:57 PM,29.049999999999997
2026-08-22,Bundi,0.2,32.4,26.1,2026-08-22T06:03,2026-08-22T18:56,06:03 AM,06:56 PM,29.25
2026-08-21,Chittaurgarh,1.9,30.9,24.2,2026-08-21T06:08,2026-08-21T19:01,06:08 AM,07:01 PM,27.549999999999997
2026-08-22,Chittaurgarh,0.1,30.0,24.3,2026-08-22T06:08,2026-08-22T19:00,06:08 AM,07:00 PM,27.15
2026-08-21,Churu,0.0,35.8,26.9,2026-08-21T06:02,2026-08-21T19:03,06:02 AM,07:03 PM,31.349999999999998
2026-08-22,Churu,0.0,35.4,27.0,2026-08-22T06:03,2026-08-22T19:02,06:03 AM,07:02 PM,31.2
2026-08-21,Dhaulpur,5.2,32.9,27.7,2026-08-21T05:53,2026-08-21T18:50,05:53 AM,06:50 PM,30.299999999999997
2026-08-22,Dhaulpur,5.3,32.8,26.9,2026-08-22T05:53,2026-08-22T18:49,05:53 AM,06:49 PM,29.849999999999998
2026-08-21,Ganganagar,0.1,37.8,30.5,2026-08-21T06:05,2026-08-21T19:09,06:05 AM,07:09 PM,34.15
2026-08-22,Ganganagar,0.0,37.4,29.9,2026-08-22T06:06,2026-08-22T19:08,06:06 AM,07:08 PM,33.65
2026-08-21,Hanumangarh,0.0,35.4,29.7,2026-08-21T06:03,2026-08-21T19:07,06:03 AM,07:07 PM,32.55
