date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-06-10,Ajmer,0.0,37.2,27.9,2026-06-10T05:37,2026-06-10T19:23,05:37 AM,07:23 PM,32.55
2026-06-11,Ajmer,0.0,37.9,28.0,2026-06-11T05:37,2026-06-11T19:24,05:37 AM,07:24 PM,32.95
2026-06-10,Alwar,0.5,40.2,30.4,2026-06-10T05:27,2026-06-10T19:18,05:27 AM,07:18 PM,35.3
2026-06-11,Alwar,2.4,37.2,27.1,2026-06-11T05:27,2026-06-11T19:18,05:27 AM,07:18 PM,32.150000000000006
2026-06-10,Banswara,0.0,37.8,28.5,2026-06-10T05:44,2026-06-10T19:18,05:44 AM,07:18 PM,33.15
2026-06-11,Banswara,0.0,38.1,28.5,2026-06-11T05:44,2026-06-11T19:18,05:44 AM,07:18 PM,33.3
2026-06-10,Barmer,0.0,40.2,27.1,2026-06-10T05:52,2026-06-10T19:35,05:52 AM,07:35 PM,33.650000000000006
2026-06-11,Barmer,0.0,41.7,27.5,2026-06-11T05:52,2026-06-11T19:35,05:52 AM,07:35 PM,34.6
2026-06-10,Bhilwara,0.0,37.8,27.7,2026-06-10T05:40,2026-06-10T19:21,05:40 AM,07:21 PM,32.75
2026-06-11,Bhilwara,0.0,38.0,27.2,2026-06-11T05:40,2026-06-11T19:21,05:40 AM,07:21 PM,32.6
2026-06-10,Bikaner,0.0,43.3,31.8,2026-06-10T05:39,2026-06-10T19:32,05:39 AM,07:32 PM,37.55
2026-06-11,Bikaner,0.0,43.4,32.0,2026-06-11T05:39,2026-06-11T19:32,05:39 AM,07:32 PM,37.7
2026-06-10,Bundi,0.0,40.0,29.4,2026-06-10T05:36,2026-06-10T19:17,05:36 AM,07:17 PM,34.7
2026-06-11,Bundi,0.0,40.3,29.4,2026-06-11T05:36,2026-06-11T19:17,05:36 AM,07:17 PM,34.849999999999994
2026-06-10,Chittaurgarh,0.0,36.9,27.1,2026-06-10T05:41,2026-06-10T19:20,05:41 AM,07:20 PM,32.0
2026-06-11,Chittaurgarh,0.0,37.0,26.8,2026-06-11T05:41,2026-06-11T19:20,05:41 AM,07:20 PM,31.9
2026-06-10,Churu,0.0,41.0,30.0,2026-06-10T05:32,2026-06-10T19:26,05:32 AM,07:26 PM,35.5
2026-06-11,Churu,0.0,42.4,27.5,2026-06-11T05:32,2026-06-11T19:26,05:32 AM,07:26 PM,34.95
2026-06-10,Dhaulpur,0.0,41.5,30.8,2026-06-10T05:24,2026-06-10T19:11,05:24 AM,07:11 PM,36.15
2026-06-11,Dhaulpur,0.2,39.7,31.2,2026-06-11T05:24,2026-06-11T19:11,05:24 AM,07:11 PM,35.45
2026-06-10,Ganganagar,0.0,42.9,31.0,2026-06-10T05:33,2026-06-10T19:34,05:33 AM,07:34 PM,36.95
2026-06-11,Ganganagar,1.3,43.7,29.1,2026-06-11T05:33,2026-06-11T19:35,05:33 AM,07:35 PM,36.400000000000006
2026-06-10,Hanumangarh,0.0,42.1,32.1,2026-06-10T05:31,2026-06-10T19:32,05:31 AM,07:32 PM,37.1
2026-06-11,Hanumangarh,1.3,42.8,28.3,2026-06-11T05:31,2026-06-11T19:32,05:31 AM,07:32 PM,35.55
2026-06-10,Jaipur,0.0,40.6,29.8,2026-06-10T05:32,2026-06-10T19:20,05:32 AM,07:20 PM,35.2
2026-06-11,Jaipur,0.4,40.0,30.6,2026-06-11T05:32,2026-06-11T19:20,05:32 AM,07:20 PM,35.3
2026-06-10,Jaisalmer,0.0,41.3,27.8,2026-06-10T05:51,2026-06-10T19:39,05:51 AM,07:39 PM,34.55
2026-06-11,Jaisalmer,0.0,44.0,28.6,2026-06-11T05:51,2026-06-11T19:39,05:51 AM,07:39 PM,36.3
2026-06-10,Jhalawar,0.0,39.2,28.5,2026-06-10T05:36,2026-06-10T19:13,05:36 AM,07:13 PM,33.85
2026-06-11,Jhalawar,0.0,39.4,28.6,2026-06-11T05:36,2026-06-11T19:14,05:36 AM,07:14 PM,34.0
2026-06-10,Jodhpur,0.0,39.9,29.5,2026-06-10T05:44,2026-06-10T19:29,05:44 AM,07:29 PM,34.7
2026-06-11,Jodhpur,0.0,39.9,29.5,2026-06-11T05:44,2026-06-11T19:30,05:44 AM,07:30 PM,34.7
2026-06-10,Kota,0.0,40.3,29.5,2026-06-10T05:35,2026-06-10T19:16,05:35 AM,07:16 PM,34.9
2026-06-11,Kota,0.0,39.7,29.5,2026-06-11T05:35,2026-06-11T19:16,05:35 AM,07:16 PM,34.6
2026-06-10,Nagaur,0.0,40.1,30.3,2026-06-10T05:39,2026-06-10T19:28,05:39 AM,07:28 PM,35.2
2026-06-11,Nagaur,0.0,39.6,30.2,2026-06-11T05:39,2026-06-11T19:29,05:39 AM,07:29 PM,34.9
2026-06-10,Pali,0.0,39.9,29.6,2026-06-10T05:44,2026-06-10T19:27,05:44 AM,07:27 PM,34.75
2026-06-11,Pali,0.0,39.9,28.8,2026-06-11T05:44,2026-06-11T19:27,05:44 AM,07:27 PM,34.35
2026-06-10,Sawai Madhopur,0.0,39.9,30.1,2026-06-10T05:32,2026-06-10T19:16,05:32 AM,07:16 PM,35.0
2026-06-11,Sawai Madhopur,0.0,39.9,30.5,2026-06-11T05:32,2026-06-11T19:16,05:32 AM,07:16 PM,35.2
2026-06-10,Sikar,0.0,39.1,29.1,2026-06-10T05:33,2026-06-10T19:24,05:33 AM,07:24 PM,34.1
2026-06-11,Sikar,0.3,40.9,29.9,2026-06-11T05:33,2026-06-11T19:24,05:33 AM,07:24 PM,35.4
2026-06-10,Sirohi,0.0,39.0,27.5,2026-06-10T05:48,2026-06-10T19:27,05:48 AM,07:27 PM,33.25
2026-06-11,Sirohi,0.0,38.9,27.1,2026-06-11T05:48,2026-06-11T19:27,05:48 AM,07:27 PM,33.0
2026-06-10,Udaipur,0.0,34.9,24.6,2026-06-10T05:46,2026-06-10T19:23,05:46 AM,07:23 PM,29.75
2026-06-11,Udaipur,0.0,35.3,23.8,2026-06-11T05:46,2026-06-11T19:24,05:46 AM,07:24 PM,29.549999999999997
