date,district,rain_mm,tmax_c,tmin_c,sunrise,sunset,sunrise_local,sunset_local,tavg_c
2026-06-10,Ajmer,0.0,37.0,28.6,2026-06-10T05:37,2026-06-10T19:23,05:37 AM,07:23 PM,32.8
2026-06-11,Ajmer,0.0,38.3,28.4,2026-06-11T05:37,2026-06-11T19:24,05:37 AM,07:24 PM,33.349999999999994
2026-06-10,Alwar,0.2,40.0,29.2,2026-06-10T05:27,2026-06-10T19:18,05:27 AM,07:18 PM,34.6
2026-06-11,Alwar,14.7,40.2,24.4,2026-06-11T05:27,2026-06-11T19:18,05:27 AM,07:18 PM,32.3
2026-06-10,Banswara,0.1,37.7,28.6,2026-06-10T05:44,2026-06-10T19:18,05:44 AM,07:18 PM,33.150000000000006
2026-06-11,Banswara,0.1,37.8,28.4,2026-06-11T05:44,2026-06-11T19:18,05:44 AM,07:18 PM,33.099999999999994
2026-06-10,Barmer,0.0,39.7,27.8,2026-06-10T05:52,2026-06-10T19:35,05:52 AM,07:35 PM,33.75
2026-06-11,Barmer,0.0,41.8,27.6,2026-06-11T05:52,2026-06-11T19:35,05:52 AM,07:35 PM,34.7
2026-06-10,Bhilwara,0.0,37.8,27.5,2026-06-10T05:40,2026-06-10T19:21,05:40 AM,07:21 PM,32.65
2026-06-11,Bhilwara,0.0,38.2,27.9,2026-06-11T05:40,2026-06-11T19:21,05:40 AM,07:21 PM,33.05
2026-06-10,Bikaner,0.0,42.0,32.7,2026-06-10T05:39,2026-06-10T19:32,05:39 AM,07:32 PM,37.35
2026-06-11,Bikaner,0.0,43.7,32.3,2026-06-11T05:39,2026-06-11T19:32,05:39 AM,07:32 PM,38.0
2026-06-10,Bundi,0.0,40.4,29.2,2026-06-10T05:36,2026-06-10T19:17,05:36 AM,07:17 PM,34.8
2026-06-11,Bundi,0.0,40.2,29.9,2026-06-11T05:36,2026-06-11T19:17,05:36 AM,07:17 PM,35.05
2026-06-10,Chittaurgarh,0.0,36.8,27.1,2026-06-10T05:41,2026-06-10T19:20,05:41 AM,07:20 PM,31.95
2026-06-11,Chittaurgarh,0.0,37.2,27.1,2026-06-11T05:41,2026-06-11T19:20,05:41 AM,07:20 PM,32.150000000000006
2026-06-10,Churu,0.0,41.1,30.8,2026-06-10T05:32,2026-06-10T19:26,05:32 AM,07:26 PM,35.95
2026-06-11,Churu,0.0,42.1,26.5,2026-06-11T05:32,2026-06-11T19:26,05:32 AM,07:26 PM,34.3
2026-06-10,Dhaulpur,0.0,41.4,30.2,2026-06-10T05:24,2026-06-10T19:11,05:24 AM,07:11 PM,35.8
2026-06-11,Dhaulpur,1.7,40.7,27.0,2026-06-11T05:24,2026-06-11T19:11,05:24 AM,07:11 PM,33.85
2026-06-10,Ganganagar,0.0,42.8,31.3,2026-06-10T05:33,2026-06-10T19:34,05:33 AM,07:34 PM,37.05
2026-06-11,Ganganagar,0.7,43.8,29.9,2026-06-11T05:33,2026-06-11T19:35,05:33 AM,07:35 PM,36.849999999999994
2026-06-10,Hanumangarh,0.0,42.5,32.7,2026-06-10T05:31,2026-06-10T19:32,05:31 AM,07:32 PM,37.6
2026-06-11,Hanumangarh,0.5,43.3,27.5,2026-06-11T05:31,2026-06-11T19:32,05:31 AM,07:32 PM,35.4
2026-06-10,Jaipur,0.0,40.4,30.2,2026-06-10T05:32,2026-06-10T19:20,05:32 AM,07:20 PM,35.3
2026-06-11,Jaipur,0.1,40.5,30.8,2026-06-11T05:32,2026-06-11T19:20,05:32 AM,07:20 PM,35.65
2026-06-10,Jaisalmer,0.0,40.8,28.1,2026-06-10T05:51,2026-06-10T19:39,05:51 AM,07:39 PM,34.45
2026-06-11,Jaisalmer,0.0,44.2,28.7,2026-06-11T05:51,2026-06-11T19:39,05:51 AM,07:39 PM,36.45
2026-06-10,Jhalawar,0.0,39.2,28.2,2026-06-10T05:36,2026-06-10T19:13,05:36 AM,07:13 PM,33.7
2026-06-11,Jhalawar,0.0,39.1,29.0,2026-06-11T05:36,2026-06-11T19:14,05:36 AM,07:14 PM,34.05
2026-06-10,Jodhpur,0.0,39.8,30.1,2026-06-10T05:44,2026-06-10T19:29,05:44 AM,07:29 PM,34.95
2026-06-11,Jodhpur,0.0,40.0,29.9,2026-06-11T05:44,2026-06-11T19:30,05:44 AM,07:30 PM,34.95
2026-06-10,Kota,0.0,40.3,29.3,2026-06-10T05:35,2026-06-10T19:16,05:35 AM,07:16 PM,34.8
2026-06-11,Kota,0.0,40.0,30.0,2026-06-11T05:35,2026-06-11T19:16,05:35 AM,07:16 PM,35.0
2026-06-10,Nagaur,0.0,39.7,31.1,2026-06-10T05:39,2026-06-10T19:28,05:39 AM,07:28 PM,35.400000000000006
2026-06-11,Nagaur,0.0,39.9,30.7,2026-06-11T05:39,2026-06-11T19:29,05:39 AM,07:29 PM,35.3
2026-06-10,Pali,0.0,39.9,29.9,2026-06-10T05:44,2026-06-10T19:27,05:44 AM,07:27 PM,34.9
2026-06-11,Pali,0.0,40.2,29.5,2026-06-11T05:44,2026-06-11T19:27,05:44 AM,07:27 PM,34.85
2026-06-10,Sawai Madhopur,0.0,40.2,29.8,2026-06-10T05:32,2026-06-10T19:16,05:32 AM,07:16 PM,35.0
2026-06-11,Sawai Madhopur,0.0,39.6,30.7,2026-06-11T05:32,2026-06-11T19:16,05:32 AM,07:16 PM,35.15
2026-06-10,Sikar,0.0,38.9,29.5,2026-06-10T05:33,2026-06-10T19:24,05:33 AM,07:24 PM,34.2
2026-06-11,Sikar,0.6,40.3,28.2,2026-06-11T05:33,2026-06-11T19:24,05:33 AM,07:24 PM,34.25
2026-06-10,Sirohi,0.0,39.1,27.9,2026-06-10T05:48,2026-06-10T19:27,05:48 AM,07:27 PM,33.5
2026-06-11,Sirohi,0.0,39.1,27.4,2026-06-11T05:48,2026-06-11T19:27,05:48 AM,07:27 PM,33.25
2026-06-10,Udaipur,0.0,35.4,24.8,2026-06-10T05:46,2026-06-10T19:23,05:46 AM,07:23 PM,30.1
2026-06-11,Udaipur,0.0,35.5,24.3,2026-06-11T05:46,2026-06-11T19:24,05:46 AM,07:24 PM,29.9
